Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Opportunity Zone
NextCare Urgent Care,On-Market,Office,603 TX-35,Port Lavaca,TX,77979,Single,11,10.1,4530,$247.71 ,,,"$78,550.00 ",7.00%,"$1,122,143.00 ",No
NextCare Urgent Care,On-Market,Office,3002 Sam Houston Dr,Victoria,TX,77904,Single,11,10.1,3830,,,,"$65,110.00 ",6.00%,"$1,085,167.00 ",Yes
Concentra Urgent Care,On-Market,Office,16505 W National Ave,New Berlin,WI,53151,Single,15.6,2.5,7769,$160.90 ,,,"$145,223.00 ",11.62%,"$1,250,000.00 ",No
NextCare Urgent Care,On-Market,Office,3308 E Main St,Alice,TX,78332,Single,11,10.1,4991,$283.46 ,,,"$89,838.00 ",6.35%,"$1,414,772.00 ",No
NextCare Urgent Care,On-Market,Office,1402 E Houston St,Beeville,TX,78102,Single,11,10.1,4446,$267.72 ,,,"$75,582.00 ",6.35%,"$1,190,268.00 ",No
OSF Urgent Care,On-Market,Retail,853 W Jackson PL,Morton,IL,61550,Single,,9.3,3264,$665.83 ,1,,"$130,397.00 ",6.00%,"$2,173,280.00 ",No
Beaumont Urgent Care,On-Market,Office,845 S. Lapeer Rd,LAKE ORION,MI,48362,Single,10,9.7,5137,$384.62 ,,,"$128,425.00 ",6.50%,"$1,975,770.00 ",No
Concentra Urgent Care,On-Market,Office,6401 E Front St,Kansas City,MO,64120,Single,23,3.5,7644,$178.27 ,,,"$104,245.00 ",7.65%,"$1,362,680.00 ",Yes
AFC Urgent Care,On-Market,Office,1298 N Main St,Fuquay-Varina,NC,27526,Single,15,14.8,3175,$754.65 ,,,"$135,350.00 ",5.65%,"$2,396,000.00 ",No
Concentra Urgent Care,On-Market,Retail,3100 Market St,St. Louis,MO,63103,Single,12.3,6.6,16471,$198.05 ,1,,"$212,038.00 ",6.50%,"$3,262,000.00 ",No
NextCare Urgent Care,On-Market,Office,108 Twin Fountains Dr,Victoria,TX,77904,Single,11,10.1,10698,$329.54 ,,,"$229,151.00 ",6.50%,"$3,525,400.00 ",No
American Family Care Urgent Care,On-Market,Retail,125 Sunrise Hwy,West Islip,NY,11795,Single,,17.6,5072,$935.53 ,,,"$284,552.00 ",6.00%,"$4,745,000.00 ",No
OSF Healthcare Urgent Care,On-Market,Office,508 IAA Dr,Bloomington,IL,61701,Single,10.1,8.8,3680,,,,"$127,880.00 ",5.75%,"$2,226,086.00 ",No
Fast Pace Urgent Care,On-Market,Office,132 Well Rd,West Monroe,LA,71291,Single,13,12.2,2558,$789.17 ,,,,7.00%,"$2,018,700.00 ",No
AFC Urgent Care Ballantyne,On-Market,Office,16704 Hawfield Way Dr,Charlotte,NC,28277,Single,,12,3962,$635.54 ,,,"$138,500.00 ",5.50%,"$2,518,000.00 ",No
Fast Pace Urgent Care,On-Market,Retail,"4152 W, IN-56, Hanover, IN 47243",Hanover,IN,47243,Single,,11.9,2700,$672.80 ,,,"$127,160.00 ",7.00%,"$1,816,571.00 ",No
Fast Pace Urgent Care,On-Market,Retail,64410 LA-41,Pearl River,LA,70452,Single,15,15,2800,$539.79 ,,,"$105,798.00 ",7.00%,"$1,511,406.00 ",No
Xpress Wellness Urgent Care,On-Market,Retail,2501 N 14th St,Ponca City,OK,74601,Single,15,14.7,3750,$546.93 ,,,"$138,435.00 ",6.75%,"$2,051,000.00 ",No
FIRST CARE URGENT CARE  SLEEP OUTFITTERS,On-Market,Retail,115 Lee Ave,Pikeville (Eastern Kentucky),KY,41501,Multi,,14.1,8500,$389.80 ,,,"$248,500.00 ",7.50%,"$3,313,333.00 ",No
Your Choice Urgent Care,On-Market,Office,1304 Linda Dr,Daingerfield,TX,75638,Single,20,,3000,$841.67 ,,,"$170,437.00 ",6.75%,"$2,525,000.00 ",Yes
Fast Pace Urgent Care,On-Market,Retail,387 W Railroad Ave,Independence,LA,70443,Single,15,15,2800,$566.20 ,,,"$110,975.00 ",7.00%,"$1,585,364.00 ",Yes
Xpress Wellness Urgent Care,On-Market,Office,106 E 10th St,Newton,KS,67114,Single,15.1,15.1,3600,$530.92 ,,,"$129,012.00 ",6.75%,"$1,911,300.00 ",No
Single Tenant NNN Urgent Care,On-Market,Office,2930 E Main St,Farmington,NM,87402,Single,15,14,3467,$971.48 ,,,"$218,928.00 ",6.50%,"$3,368,123.00 ",No
Little Spurs Pediatric Urgent Care,On-Market,Office,2039 E Houston St,San Antonio,TX,78202,Single,15,12.7,2976,,,,"$71,424.00 ",7.00%,"$1,020,000.00 ",No
WellNow Urgent Care  Metro Mattress,On-Market,Retail,4187 Veterans Memorial Dr,Batavia,NY,14020,Multi,,,,,,,"$159,599.00 ",6.75%,"$2,364,429.00 ",No
Oswego Aspen Dental  WellNow Urgent Care,On-Market,Retail,200 E 1st St,Oswego,NY,13126,Multi,10,7.3,6500,$473.96 ,2,,"$200,250.00 ",6.50%,"$3,080,769.00 ",No
"Xpress Wellness Urgent Care - Hutchinson, KS",On-Market,Office,1805 E 17th Ave,Hutchinson,KS,67501,Single,15.1,15.1,3600,$587.66 ,,,"$140,686.00 ",6.65%,"$2,115,578.00 ",Yes
NNN Leased Medical Urgent Care Investment,On-Market,Office,3099 Aloma Ave,Winter Park,FL,32792,Single,,3.8,5245,$838.89 ,,,"$230,973.00 ",5.25%,"$4,400,000.00 ",No
NNN Urgent Care Facility Investment Opportunity,On-Market,Office,2400 W Sample Rd,Pompano Beach,FL,33073,Single,18,3.1,9307,$105.08 ,1,"$978,000.00 ","$4,612.00 ",,"$978,000.00 ",No
NextCare Urgent Care Two Tenant Pad,On-Market,Office,1100 N 4th St,Leavenworth,KS,66048,Multi,,,7557,$311.90 ,,,"$164,993.00 ",7.00%,"$2,357,000.00 ",Yes
Urgent Care Medical Office For Sale,On-Market,Office,3000 Eastchester Rd,Bronx,NY,10469,N/A,,,4500,$666.67 ,,,,,"$3,000,000.00 ",No
24HR CONCENTRA NYSE SEM URGENT  MEDICAL CARE,On-Market,Retail,10912 Wayne Rd,Romulus (Detroit MSA),MI,48174,Single,,11.1,9707,$494.14 ,,,"$281,202.00 ",5.86%,"$4,796,626.00 ",No
"Ladonia, AL Stop Watch Urgent Care Clinic",On-Market,Office,3838 US-80,Ladonia,AL,36869,Single,,13,3750,$478.70 ,1,,"$130,147.00 ",7.25%,"$1,795,131.00 ",No
SOUTHSTAR HULIN HEALTH URGENT CARE  WALK-IN CLINIC,On-Market,Retail,58300 Belleview Dr,Plaquemine (Baton Rouge MSA),LA,70764,Single,,12.2,3750,$406.67 ,,,"$114,375.00 ",7.50%,"$1,525,000.00 ",No
"St. Anne's - AFC Urgent Care - New Bedford, MA",On-Market,Office,119 Coggeshall St,New Bedford,MA,2746,Single,,18.8,10211,$612.09 ,1,,"$375,258.00 ",6.00%,"$6,250,000.00 ",Yes
Urgent Care  Corporate  Annual Bumps  10 Yr Op History,On-Market,Retail,203 W Front St,Annawan,IL,61234,Single,11.9,11.2,3850,$223.38 ,1,,"$56,000.00 ",6.51%,"$860,000.00 ",No
Rayner Eye Clinic  Getwell Urgent Care  NNN Sale Leaseback,On-Market,Office,6762 Getwell Rd,Southaven,MS,38672,Multi,10,10,6300,$422.13 ,,,"$162,225.00 ",6.10%,"$2,659,426.00 ",No
Direct Orthopedic Care,On-Market,Office,3209 N Flood Ave,Norman,OK,73069,Single,10,10.2,5125,,,,"$123,000.00 ",6.85%,"$1,800,000.00 ",No
Concentra Health Care,On-Market,Retail,627 E Maple Rd,Troy,MI,48083,Single,,,10323,,1,,"$284,025.00 ",,,No
Memory Care America,On-Market,Multifamily,645 Scuffletown Rd,Simpsonville,SC,29681,Single,15,12.6,38500,,57,$0.00 ,"$1,146,969.00 ",,,No
MainStreet Family Care  KidsStreet,On-Market,Retail,6280 Grelot Rd,Mobile,AL,36609,Multi,11.1,8.1,3961,$460.32 ,,,"$132,192.00 ",7.25%,"$1,823,338.00 ",No
Physicians Immediate Care - Bolingbrook,On-Market,Office,391 S Bolingbrook Dr,Bolingbrook,IL,60440,Single,15,4,8050,$478.26 ,,,"$321,708.00 ",8.36%,"$3,850,000.00 ",No
Physicians Immediate Care OSF Healthcare,On-Market,Office,11475 N 2nd St,Machesney Park,IL,61115,Single,,3.1,10400,$16.40 ,,,"$170,571.00 ",7.25%,"$2,353,000.00 ",No
Advance Care Medical  Corp. Guaranty  2 Bumps,On-Market,Office,1469 Tiny Town Rd,Clarksville,TN,37042,Single,20,20.1,3800,,,,"$300,000.00 ",6.00%,"$5,000,000.00 ",No
"Retail, Hospitality, Medical, Long Term Care, RV Park",On-Market,Land,11807 NM-337,Albuquerque,NM,87059,N/A,,,217800,$3.75 ,,,,,"$816,750.00 ",No
1649 J A Cochran Bypass,On-Market,Retail,1649 J A Cochran Bypass,Chester,SC,29706,Single,,15,3500,$578.32 ,,,,7.00%,"$2,024,115.00 ",No
