Property Name,External URL,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Opportunity Zone
Family Dollar  Newly Constructed,https://www.crexi.com/properties/513044/new-york-family-dollar#,On-Market,Retail,518 NY-13,Williamstown,NY,13493,Single,10,9.7,9180,$114.29 ,,,"$73,440.00 ",7.00%,"$1,049,143.00 ",No
"Family Dollar - Louisville, KY",https://www.crexi.com/properties/441623/kentucky-family-dollar---louisville-ky#,On-Market,Retail,2421 W Market St,Louisville,KY,40212,Single,10,7,11172,,,,"$112,079.00 ",8.00%,"$1,400,995.00 ",No
Family Dollar Louisville GA,https://www.crexi.com/properties/225723/georgia-119-us1#,On-Market,Retail,119 US-1,Louisville,GA,30434,Single,,,16000,$59.88 ,,,"$71,856.00 ",7.50%,"$958,000.00 ",No
"Family Dollar - Chicago, IL",https://www.crexi.com/properties/337325/illinois-family-dollar-chicago-il#,On-Market,Retail,6800 S Ashland Ave,Chicago,IL,60636,Single,10,7,10152,,,,"$127,830.00 ",7.75%,"$1,649,419.00 ",Yes
Family Dollar Shopping Center,https://www.crexi.com/properties/300944/georgia-family-dollar-shopping-center#,On-Market,Retail,4601 Skidaway Road,Savannah,GA,31404,Multi,,,17304,$176.90 ,,,"$252,526.00 ",8.25%,"$3,061,000.00 ",No
"Family Dollar - McCamey, TX",https://www.crexi.com/properties/451976/texas-family-dollar---mccamey-tx#,On-Market,Retail,N Burleson Ave,McCamey,TX,79752,Single,11.2,10.2,9180,$158.71 ,1,,"$102,036.00 ",7.00%,"$1,457,000.00 ",No
"Family Dollar Wrens, GA",https://www.crexi.com/properties/447843/georgia-family-dollar-wrens-ga#,On-Market,Retail,505 N Main St,Wrens,GA,30833,Single,10.2,10,9180,$147.82 ,,,"$94,990.00 ",7.00%,"$1,357,000.00 ",No
Family Dollar - 2017 Construction,https://www.crexi.com/properties/430391/south-carolina-family-dollar#,On-Market,Retail,941 US-321 BYP,Winnsboro,SC,29180,Single,10,7.8,8320,,,,"$99,008.40 ",7.50%,"$1,320,100.00 ",No
Family Dollar Tyler TX,https://www.crexi.com/properties/529340/texas-family-dollar-tyler-tx#,On-Market,Retail,3508 Frankston Hwy,Tyler,TX,75701,N/A,5,5.5,8000,$129.38 ,,,"$82,834.00 ",8.00%,"$1,035,000.00 ",No
West Plains Family Dollar,https://www.crexi.com/properties/114921/missouri-west-plains-family-dollar#,On-Market,Retail,1308 Porter Wagoner Blvd,West Plains,MO,65775,Single,,2.5,8400,$154.76 ,,,"$108,015.00 ",8.30%,"$1,300,000.00 ",No
Family Dollar NNN Investment,https://www.crexi.com/properties/232565/florida-4784-n-carl-g-rose#,On-Market,Retail,3365 E Millwood Ln,Hernando,FL,34442,Single,,,8320,$156.25 ,,,"$117,863.00 ",9.07%,"$1,300,000.00 ",No
"Family Dollar - Baltimore, MD",https://www.crexi.com/properties/402412/maryland-family-dollar---baltimore-md#,On-Market,Retail,5100 Liberty Heights Ave,Baltimore,MD,21207,Single,,6.6,8050,,,,"$140,250.00 ",7.00%,"$2,003,571.00 ",No
Family Dollar  Dense Demographics,https://www.crexi.com/properties/410848/pennsylvania-family-dollar-dense-demographics#,On-Market,Retail,642 Monongahela Ave,Glassport,PA,15045,Single,,5.7,11265,$111.17 ,1,,"$93,922.00 ",7.50%,"$1,252,294.00 ",Yes
"Family Dollar - Houston, TX",https://www.crexi.com/properties/497590/texas-family-dollar---houston-tx#,On-Market,Retail,1212 Aldine Bender Rd,Houston,TX,77032,Single,21.5,7,9180,$133.23 ,,,"$79,500.00 ",6.50%,"$1,223,076.00 ",No
