NAME,GEO_ID,B19013_001E,B19013_001M,NAME,B19013_001EA,B19013_001MA,zip code tabulation area
ZCTA5 93603,8600000US93603,-666666666,-222222222,ZCTA5 93603,-,**,93603
ZCTA5 78665,8600000US78665,92511,4308,ZCTA5 78665,,,78665
ZCTA5 78633,8600000US78633,74375,3079,ZCTA5 78633,,,78633
ZCTA5 78951,8600000US78951,-666666666,-222222222,ZCTA5 78951,-,**,78951
ZCTA5 93524,8600000US93524,-666666666,-222222222,ZCTA5 93524,-,**,93524
ZCTA5 93314,8600000US93314,105414,6689,ZCTA5 93314,,,93314
ZCTA5 93558,8600000US93558,26029,3467,ZCTA5 93558,,,93558
ZCTA5 93730,8600000US93730,118487,12323,ZCTA5 93730,,,93730
ZCTA5 93449,8600000US93449,77316,9312,ZCTA5 93449,,,93449
ZCTA5 93723,8600000US93723,71861,10128,ZCTA5 93723,,,93723
ZCTA5 93628,8600000US93628,73750,73598,ZCTA5 93628,,,93628
ZCTA5 93652,8600000US93652,36750,3361,ZCTA5 93652,,,93652
ZCTA5 93033,8600000US93033,57829,2170,ZCTA5 93033,,,93033
ZCTA5 93519,8600000US93519,-666666666,-222222222,ZCTA5 93519,-,**,93519
ZCTA5 93235,8600000US93235,29898,7826,ZCTA5 93235,,,93235
ZCTA5 93283,8600000US93283,31071,10507,ZCTA5 93283,,,93283
ZCTA5 93426,8600000US93426,83523,7381,ZCTA5 93426,,,93426
ZCTA5 93545,8600000US93545,41583,16199,ZCTA5 93545,,,93545
ZCTA5 78216,8600000US78216,46186,3526,ZCTA5 78216,,,78216
ZCTA5 78573,8600000US78573,35740,3875,ZCTA5 78573,,,78573
ZCTA5 78150,8600000US78150,-666666666,-222222222,ZCTA5 78150,-,**,78150
ZCTA5 78243,8600000US78243,-666666666,-222222222,ZCTA5 78243,-,**,78243
ZCTA5 78802,8600000US78802,90015,84190,ZCTA5 78802,,,78802
ZCTA5 78590,8600000US78590,26875,16878,ZCTA5 78590,,,78590
ZCTA5 78069,8600000US78069,45135,8451,ZCTA5 78069,,,78069
ZCTA5 78132,8600000US78132,95979,6402,ZCTA5 78132,,,78132
ZCTA5 78732,8600000US78732,142612,17547,ZCTA5 78732,,,78732
ZCTA5 78833,8600000US78833,32000,9740,ZCTA5 78833,,,78833
ZCTA5 78564,8600000US78564,-666666666,-222222222,ZCTA5 78564,-,**,78564
ZCTA5 78712,8600000US78712,-666666666,-222222222,ZCTA5 78712,-,**,78712
ZCTA5 78567,8600000US78567,20938,17168,ZCTA5 78567,,,78567
ZCTA5 78218,8600000US78218,40406,2410,ZCTA5 78218,,,78218
ZCTA5 78219,8600000US78219,32795,3244,ZCTA5 78219,,,78219
ZCTA5 78223,8600000US78223,40326,1649,ZCTA5 78223,,,78223
ZCTA5 78225,8600000US78225,33057,4012,ZCTA5 78225,,,78225
ZCTA5 78227,8600000US78227,38804,2126,ZCTA5 78227,,,78227
ZCTA5 78239,8600000US78239,59844,3701,ZCTA5 78239,,,78239
ZCTA5 78254,8600000US78254,82330,2266,ZCTA5 78254,,,78254
ZCTA5 78261,8600000US78261,102860,4737,ZCTA5 78261,,,78261
ZCTA5 78266,8600000US78266,114003,6649,ZCTA5 78266,,,78266
ZCTA5 78332,8600000US78332,41112,3665,ZCTA5 78332,,,78332
ZCTA5 78353,8600000US78353,22391,16957,ZCTA5 78353,,,78353
ZCTA5 78503,8600000US78503,32968,5145,ZCTA5 78503,,,78503
ZCTA5 78577,8600000US78577,39388,3235,ZCTA5 78577,,,78577
ZCTA5 78585,8600000US78585,13348,6435,ZCTA5 78585,,,78585
ZCTA5 78932,8600000US78932,55625,24438,ZCTA5 78932,,,78932
ZCTA5 78885,8600000US78885,105313,24585,ZCTA5 78885,,,78885
ZCTA5 78870,8600000US78870,34632,7253,ZCTA5 78870,,,78870
ZCTA5 78881,8600000US78881,36875,8730,ZCTA5 78881,,,78881
ZCTA5 78884,8600000US78884,52667,7836,ZCTA5 78884,,,78884
ZCTA5 78934,8600000US78934,44775,9408,ZCTA5 78934,,,78934
ZCTA5 78935,8600000US78935,76667,36036,ZCTA5 78935,,,78935
ZCTA5 78541,8600000US78541,33829,3563,ZCTA5 78541,,,78541
ZCTA5 78591,8600000US78591,45625,17107,ZCTA5 78591,,,78591
ZCTA5 78535,8600000US78535,-666666666,-222222222,ZCTA5 78535,-,**,78535
ZCTA5 78677,8600000US78677,55000,25611,ZCTA5 78677,,,78677
ZCTA5 78419,8600000US78419,51518,6664,ZCTA5 78419,,,78419
ZCTA5 78705,8600000US78705,15309,2456,ZCTA5 78705,,,78705
ZCTA5 78759,8600000US78759,76749,3641,ZCTA5 78759,,,78759
ZCTA5 78060,8600000US78060,-666666666,-222222222,ZCTA5 78060,-,**,78060
ZCTA5 78341,8600000US78341,32143,7715,ZCTA5 78341,,,78341
ZCTA5 78574,8600000US78574,34511,3445,ZCTA5 78574,,,78574
ZCTA5 78931,8600000US78931,96944,73097,ZCTA5 78931,,,78931
ZCTA5 78162,8600000US78162,32330,4626,ZCTA5 78162,,,78162
ZCTA5 78104,8600000US78104,63194,17431,ZCTA5 78104,,,78104
ZCTA5 78563,8600000US78563,40446,18119,ZCTA5 78563,,,78563
ZCTA5 78342,8600000US78342,40521,12030,ZCTA5 78342,,,78342
ZCTA5 78029,8600000US78029,-666666666,-222222222,ZCTA5 78029,-,**,78029
ZCTA5 78536,8600000US78536,-666666666,-222222222,ZCTA5 78536,-,**,78536
ZCTA5 78133,8600000US78133,58540,5237,ZCTA5 78133,,,78133
ZCTA5 78258,8600000US78258,104802,4327,ZCTA5 78258,,,78258
ZCTA5 78404,8600000US78404,41513,4039,ZCTA5 78404,,,78404
ZCTA5 78580,8600000US78580,28271,4176,ZCTA5 78580,,,78580
ZCTA5 78639,8600000US78639,41230,4204,ZCTA5 78639,,,78639
ZCTA5 78044,8600000US78044,41250,37810,ZCTA5 78044,,,78044
ZCTA5 78843,8600000US78843,-666666666,-222222222,ZCTA5 78843,-,**,78843
ZCTA5 78628,8600000US78628,84147,3102,ZCTA5 78628,,,78628
ZCTA5 78702,8600000US78702,54053,4982,ZCTA5 78702,,,78702
ZCTA5 78745,8600000US78745,60567,1600,ZCTA5 78745,,,78745
ZCTA5 78946,8600000US78946,40385,16879,ZCTA5 78946,,,78946
ZCTA5 78374,8600000US78374,64057,8407,ZCTA5 78374,,,78374
ZCTA5 78542,8600000US78542,36538,2659,ZCTA5 78542,,,78542
ZCTA5 78335,8600000US78335,-666666666,-222222222,ZCTA5 78335,-,**,78335
ZCTA5 78009,8600000US78009,57744,11557,ZCTA5 78009,,,78009
ZCTA5 78066,8600000US78066,65352,7100,ZCTA5 78066,,,78066
ZCTA5 78595,8600000US78595,24012,7122,ZCTA5 78595,,,78595
ZCTA5 78672,8600000US78672,50817,14266,ZCTA5 78672,,,78672
ZCTA5 78109,8600000US78109,65220,3072,ZCTA5 78109,,,78109
ZCTA5 87412,8600000US87412,49201,11671,ZCTA5 87412,,,87412
ZCTA5 87002,8600000US87002,36773,1347,ZCTA5 87002,,,87002
ZCTA5 87012,8600000US87012,33409,22856,ZCTA5 87012,,,87012
ZCTA5 87413,8600000US87413,50919,4198,ZCTA5 87413,,,87413
ZCTA5 87514,8600000US87514,34747,13630,ZCTA5 87514,,,87514
ZCTA5 87939,8600000US87939,51484,17976,ZCTA5 87939,,,87939
ZCTA5 87935,8600000US87935,34583,14294,ZCTA5 87935,,,87935
ZCTA5 87942,8600000US87942,29625,14531,ZCTA5 87942,,,87942
ZCTA5 87043,8600000US87043,72898,10710,ZCTA5 87043,,,87043
ZCTA5 87045,8600000US87045,16333,3840,ZCTA5 87045,,,87045
ZCTA5 87062,8600000US87062,26895,14696,ZCTA5 87062,,,87062
ZCTA5 87109,8600000US87109,49141,3006,ZCTA5 87109,,,87109
ZCTA5 87317,8600000US87317,23370,13471,ZCTA5 87317,,,87317
ZCTA5 87322,8600000US87322,39583,18472,ZCTA5 87322,,,87322
ZCTA5 87325,8600000US87325,31397,1454,ZCTA5 87325,,,87325
ZCTA5 87357,8600000US87357,22212,6455,ZCTA5 87357,,,87357
ZCTA5 87364,8600000US87364,19271,3827,ZCTA5 87364,,,87364
ZCTA5 87417,8600000US87417,51643,19584,ZCTA5 87417,,,87417
ZCTA5 90017,8600000US90017,28638,2932,ZCTA5 90017,,,90017
ZCTA5 90036,8600000US90036,74279,3669,ZCTA5 90036,,,90036
ZCTA5 90064,8600000US90064,92194,6054,ZCTA5 90064,,,90064
ZCTA5 90065,8600000US90065,58405,2572,ZCTA5 90065,,,90065
ZCTA5 90241,8600000US90241,64222,4287,ZCTA5 90241,,,90241
ZCTA5 90248,8600000US90248,58703,6334,ZCTA5 90248,,,90248
ZCTA5 90270,8600000US90270,37553,3087,ZCTA5 90270,,,90270
ZCTA5 76472,8600000US76472,49038,16259,ZCTA5 76472,,,76472
ZCTA5 76401,8600000US76401,46327,3802,ZCTA5 76401,,,76401
ZCTA5 76435,8600000US76435,33393,11600,ZCTA5 76435,,,76435
ZCTA5 76455,8600000US76455,50417,4959,ZCTA5 76455,,,76455
ZCTA5 76484,8600000US76484,38828,9633,ZCTA5 76484,,,76484
ZCTA5 76379,8600000US76379,65333,13448,ZCTA5 76379,,,76379
ZCTA5 76360,8600000US76360,36856,7408,ZCTA5 76360,,,76360
ZCTA5 76372,8600000US76372,40335,3490,ZCTA5 76372,,,76372
ZCTA5 76374,8600000US76374,46089,6307,ZCTA5 76374,,,76374
ZCTA5 76427,8600000US76427,34736,5476,ZCTA5 76427,,,76427
ZCTA5 76429,8600000US76429,-666666666,-222222222,ZCTA5 76429,-,**,76429
ZCTA5 76501,8600000US76501,42361,3339,ZCTA5 76501,,,76501
ZCTA5 76502,8600000US76502,64725,2865,ZCTA5 76502,,,76502
ZCTA5 76261,8600000US76261,54750,13106,ZCTA5 76261,,,76261
ZCTA5 76228,8600000US76228,51625,9521,ZCTA5 76228,,,76228
ZCTA5 76248,8600000US76248,123446,7410,ZCTA5 76248,,,76248
ZCTA5 76251,8600000US76251,43421,6104,ZCTA5 76251,,,76251
ZCTA5 76268,8600000US76268,41250,13115,ZCTA5 76268,,,76268
ZCTA5 76311,8600000US76311,60208,4336,ZCTA5 76311,,,76311
ZCTA5 76364,8600000US76364,58750,33600,ZCTA5 76364,,,76364
ZCTA5 76366,8600000US76366,48750,16618,ZCTA5 76366,,,76366
ZCTA5 76430,8600000US76430,43958,5129,ZCTA5 76430,,,76430
ZCTA5 76070,8600000US76070,80709,41739,ZCTA5 76070,,,76070
ZCTA5 76126,8600000US76126,82063,3430,ZCTA5 76126,,,76126
ZCTA5 76250,8600000US76250,82143,48155,ZCTA5 76250,,,76250
ZCTA5 76943,8600000US76943,51712,8673,ZCTA5 76943,,,76943
ZCTA5 76108,8600000US76108,63333,2593,ZCTA5 76108,,,76108
ZCTA5 76836,8600000US76836,-666666666,-222222222,ZCTA5 76836,-,**,76836
ZCTA5 76908,8600000US76908,-666666666,-222222222,ZCTA5 76908,-,**,76908
ZCTA5 76598,8600000US76598,-666666666,-222222222,ZCTA5 76598,-,**,76598
ZCTA5 76597,8600000US76597,-666666666,-222222222,ZCTA5 76597,-,**,76597
ZCTA5 76596,8600000US76596,-666666666,-222222222,ZCTA5 76596,-,**,76596
ZCTA5 76182,8600000US76182,86386,3315,ZCTA5 76182,,,76182
ZCTA5 76573,8600000US76573,-666666666,-222222222,ZCTA5 76573,-,**,76573
ZCTA5 76209,8600000US76209,50810,4196,ZCTA5 76209,,,76209
ZCTA5 76263,8600000US76263,71071,37385,ZCTA5 76263,,,76263
ZCTA5 76210,8600000US76210,85890,4835,ZCTA5 76210,,,76210
ZCTA5 76085,8600000US76085,69385,9261,ZCTA5 76085,,,76085
ZCTA5 76244,8600000US76244,100861,4237,ZCTA5 76244,,,76244
ZCTA5 76061,8600000US76061,-666666666,-222222222,ZCTA5 76061,-,**,76061
ZCTA5 76084,8600000US76084,57455,5184,ZCTA5 76084,,,76084
ZCTA5 76114,8600000US76114,46096,4069,ZCTA5 76114,,,76114
ZCTA5 76120,8600000US76120,46404,10308,ZCTA5 76120,,,76120
ZCTA5 76549,8600000US76549,51972,2112,ZCTA5 76549,,,76549
ZCTA5 76630,8600000US76630,66657,8406,ZCTA5 76630,,,76630
ZCTA5 76033,8600000US76033,53671,2988,ZCTA5 76033,,,76033
